Project Name,Country,Start Date,Capacity (kt H2/y),Length (km),Investment Cost (MUSD),Source,Date Online,Technology,Capacity Change (Simulated)
Cleanergy Solutions Namibia HRS,NAM,,5,,0.749653846,Production,2024,Solar PV,1.999771493
CNNC 600MW HTGR P2G for steel,CHN,,225,,38.982,Production,,,1.989188025
CNNC HTGR P2G demo,CHN,,0.00045,,7.80E-05,Production,2020,,1.999987995
CO2RRECT-Niederaussem,DEU,,0.26,,0.038982,Production,2013,,4.999999519
Cobra Cartagena,ESP,,115,,19.92413333,Production,2026,Unknown,6.994479759
Cobra Castellón,ESP,,90,,15.5928,Production,2026,Unknown,6.995682426
"Coega, Nelson Mandela Bay green ammonia plant, phase 1",ZAF,,540.4655321,,93.63745498,Production,2025,Solar PV,1.974012027
"Coega, Nelson Mandela Bay green ammonia plant, phase 2",ZAF,,2161.862128,,374.5498199,Production,2026,Solar PV,1.896012027
Collinsvile Energy hub - Han Ho,AUS,,3741.684453,,648.2593037,Production,2032,Others/Various,1.820012027
Come By Chance refinery,CAN,,505.0407881,,87.5,Production,2027,Onshore wind,1.975716193
Commercial Plant Svartsengi/George Olah plant,ISL,,6,,1.03952,Production,2012,Others/Various,1.999723387
Concrete Chemicals - I,DEU,,51.68539326,,8.76,Production,2025,Others/Various,4.997525614
Concrete Chemicals - II,DEU,,3,,0.615505263,Production,2025,Others/Various,4.999867707
Constellation - Nine Mile Point Nuclear Plant,USA,,1,,0.149930769,Production,2023,,1.99996392
Convion SOE R&D ELY,FIN,,0.125,,0.025646053,Production,2023,,1.999993987
COPPE/UFRJ pilot plant ,BRA,,0.017315684,,0.003,Production,2023,,1.999988806
CorrHyd'Occ (Occitanie H2 Corridor),FRA,,20,,3.38973913,Production,2024,,1.999049893
"CoSin: Synthetic Natural Gas from Sewage, Barcelona",ESP,,0.03344,,0.006860832,Production,2018,,1.999989582
Costa Rica Transportation Ecosystem Project,CRI,,0.0052,,0.00077964,Production,2017,Others/Various,1.999988223
Costa Rica Transportation Ecosystem Project,CRI,,1,,0.149930769,Production,2025,Others/Various,1.99996392
Cotbus,DEU,,0.12,,0.020338435,Production,2012,,4.999993746
Coyote Hydrogen Project,CAN,,1000,,173.2533333,Production,,Hydropower,1.951905351
CPI Zaoquan thermal power plant in China's Ningxia region,CHN,,0.092,,0.0155928,Production,2017,,1.999992399
CRI project in Norway (Circlenergy),NOR,,110,,19.05786667,Production,2025,,1.994720292
Cromarty Clean Fuels Project,GBR,,38.74804566,,6.71322807,Production,2026,,1.998147987
Cromarty Green Hydrogen Facility,GBR,,15,,2.248961538,Production,2026,Onshore wind,1.999290427
Cromarty Hydrogen Project - phase 1,GBR,,10.6,,1.836485333,Production,2026,Unknown,6.999502096
Cromarty Hydrogen Project - phase 2,GBR,,270,,46.7784,Production,2030,Unknown,6.987023224
"Crystal Brook Energy Park, South Australia",AUS,,50,,8.662666667,Production,2024,,1.997606693
Curthyl,NLD,,200,,34.65066667,Production,2028,Offshore wind,1.990390692
"CUTE and HyFLEET:CUTE, Barcelona",ESP,,0.3,,0.050846087,Production,2006,,1.999997595
"CUTE, Stockholm",SWE,,0.3,,0.050846087,Production,2003,,1.999997595
Cyprus Renewstable 1 ,CYP,,30,,5.1976,Production,2029,Solar PV,1.998568826
Cyrus Smith,NLD,,0.02,,0.003465067,Production,,,1.999988935
"Da'an Jilin Power Wind-Solar-
Hydrogen-Ammonia Integration Project",CHN,,207,,35.86344,Production,2025,Others/Various,1.990053945
"Dahej, Reliance, back-up hydrogen supply",IND,,2.0424,,0.34616016,Production,2014,,1.999913774
Danish nuclear in Indonesia,IDN,,1000,,205.1684211,Production,2028,,1.951905351
"Datong City solar plant, phase 1",CHN,,10,,1.732533333,Production,2025,Solar PV,1.99953096
"Datong City solar plant, phase 2",CHN,,40,,6.930133333,Production,2025,Solar PV,1.99808776
"Daures Green Hydrogen Village, phase 1",NAM,,0.25,,0.043313333,Production,2024,Solar PV,2
"Daures Green Hydrogen Village, phase 2",NAM,,4.75,,0.822953333,Production,2027,Others/Various,1.99978352
"Daures Green Hydrogen Village, phase 3",NAM,,415.25,,71.94344667,Production,2032,Others/Various,1.98003573
"Daures Green Hydrogen Village, phase 4",NAM,,424.75,,73.58935333,Production,2032,Others/Various,1.979578716
Davis-Besse Nuclear Power Station,USA,,2,,0.299861538,Production,2021,,1.999915813
Dawson Mine,AUS,,10,,1.732533333,Production,2024,Solar PV,1.99953096
Daystar Energy - Columboola Renewable Energy Hub (CREH),AUS,,50,,8.662666667,Production,,Solar PV,1.997606693
Delicias Solar,MEX,,35,,6.063866667,Production,2026,Solar PV,1.998328293
Deltaurus 1,NLD,,150,,25.988,Production,2026,,1.992796025
Deltaurus 3,NLD,,700,,121.2773333,Production,2027,,1.966337354
"Demonstration plant Kuala Terengganu, Malaysia",MYS,,0.1,,0.014993077,Production,2006,,1.999992784
DemoSNG,SWE,,0.1456,,0.02182992,Production,2015,,1.999994978
Denain - Phase I,FRA,,2.5,,0.433133333,Production,2026,,1.99989176
Denain - Phase II,FRA,,120,,20.7904,Production,2029,,1.994239226
Denham Hydrogen Demonstration Plant,AUS,,0.348,,0.06029216,Production,2022,Solar PV,1.999995286
DépHy2A Ajaccio,FRA,,5,,0.866266667,Production,2025,Solar PV,1.999771493
DépHy2B Bastia,FRA,,5,,0.866266667,Production,2025,Solar PV,1.999771493
"Desert Bloom, phase 1",AUS,,400,,69.30133333,Production,,Solar PV,1.980769356
"Desert Bloom, phase 2",AUS,,7600,,1316.725333,Production,,Solar PV,1.634401292
Desierto verde,CHL,,1440,,249.4848,Production,,Others/Various,1.930738414
Deuterium,COL,,50,,8.474347826,Production,2030,Hydropower,1.997606693
DG Fuels,USA,,839,,142.1995565,Production,2028,,1.959650526
Diaobingshan Off-grid wind power to hydrogen coupled green ammonia-methanol Integration Demonstration Project,CHN,,110.4319301,,19.1327,Production,2024,Onshore wind,1.994699514
Didcot Green Hydrogen Electrolyser,GBR,,10,,1.694869565,Production,2028,,1.99953096
Dijon Métropole Smart EnergHy (DMSE) - Station 1,FRA,,1,,0.169486957,Production,2024,,1.99996392
Dijon Métropole Smart EnergHy (DMSE) - Station 2,FRA,,2,,0.338973913,Production,2027,,1.999915813
Dimdini H2 ecosystem,LVA,,30,,5.1976,Production,2025,,1.998568826
"DJEWELS Chemiepark - Delfzijl, Phase 1",NLD,,20,,3.38973913,Production,2026,Offshore wind,1.999049893
"DJEWELS Chemiepark - Delfzijl, Phase 2",NLD,,40,,6.779478261,Production,2026,Offshore wind,1.99808776
"DJEWELS Chemiepark - Delfzijl, Phase 3",NLD,,40,,6.779478261,Production,2030,Offshore wind,1.99808776
DLZ Costa Ric ammonia plant,CRI,,200,,34.65066667,Production,2028,Others/Various,1.990390692
DNV Kema/DNV GL,NLD,,0.01,,0.001499308,Production,2011,,1.999988454
"Dolphyn 1, phase 1",GBR,,10,,1.732533333,Production,2027,Offshore wind,1.99953096
"Dolphyn 1, phase 2",GBR,,90,,15.5928,Production,2032,Offshore wind,1.995682426
"Dolphyn 1, phase 3",GBR,,3900,,675.688,Production,2034,Offshore wind,1.812395992
Dominica Geothermal Development Company - Kenesjay green hydrogen plant,DMA,,164.4989995,,28.5,Production,,Others/Various,1.992098527
Don Quichote,BEL,,0.3,,0.050846087,Production,2015,Onshore wind,1.999997595
Donghae 1 offshore wind plant,KOR,,100,,17.32533333,Production,2027,Offshore wind,1.995201359
"Dorlun County 200,000 tons green methanol project",CHN,,220.8638602,,38.2654,Production,,,1.989387001
Dorset Green H2 Project,GBR,,0.9,,0.155928,Production,2023,Solar PV,1.999968731
Douglas County PUD - industrial area north of East Wenatchee,USA,,5,,0.749653846,Production,2024,,1.999771493
Douglas County PUD - industrial area north of East Wenatchee,USA,,5,,0.866266667,Production,2025,,1.999771493
Dow Stade,DEU,,387.4804566,,67.1322807,Production,,,4.98137163
Dresden,DEU,,0.01,,0.002051684,Production,2015,,4.999988454
DRI CO2 recycling,USA,,0.005,,0.000749654,Production,2009,,1.999988214
"DTE Energy Hydrogen Technoly Park, Southfield Michigan",USA,,0.099,,0.016779209,Production,2004,,1.999992736
Duisburg Harbor,DEU,,20,,3.465066667,Production,2025,Unknown,9.999049893
DUSEDAU,DEU,,24,,4.15808,Production,,,4.998857466
Duwaal,NLD,,5,,0.749653846,Production,2026,Onshore wind,1.999771493
"Dylan, phase 1",GBR,,300,,51.976,Production,2028,Offshore wind,1.985580024
"Dylan, phase 2",GBR,,700,,121.2773333,Production,2030,Offshore wind,1.966337354
Dyno Nobel Renewable Hydrogen Project,AUS,,160,,27.72053333,Production,2028,Solar PV,1.992314959
E.ON H2.Ruhr wind exports from Italy,DEU,,20,,3.465066667,Production,2025,Others/Various,4.999049893
Eastern Cape MeOH plant,ZAF,,120,,20.7904,Production,2027,Others/Various,1.994239226
EBIC - Ammonia plant - phase 2,EGY,,85,,14.72653333,Production,2026,Others/Various,1.995922959
EBIC - Ammonia plant -phase 1,EGY,,15,,2.248961538,Production,2022,Others/Various,1.999290427
ECB Omega Green biofuel project,PRY,,310,,52.54095652,Production,2027,Others/Various,1.985098957
Eco Energy World Quensland project,AUS,,200,,34.65066667,Production,2024,Solar PV,1.990390692
E-CO2MET Raffinerie Mitteldeutschland,DEU,,1,,0.205168421,Production,2023,,4.99996392
EcoH2,FRA,,10,,1.499307692,Production,2030,Solar PV,1.99953096
EcoH2 Breizh1,FRA,,10,,1.732533333,Production,2026,,1.99953096
EcoH2 Breizh2,FRA,,10,,1.732533333,Production,2026,,1.99953096
e-Colibrí 1,COL,,100,,17.32533333,Production,2032,,1.995201359
e-Colibrí 2,COL,,45,,7.7964,Production,2032,,1.997847226
Ecopetrol 50kW electrolyser,COL,,0.05,,0.007496538,Production,2022,Solar PV,1.999990379
Ecopetrol green methanol and biofuel project,COL,,207.7882099,,36,Production,,Unknown,6.990016027
ECTOS,ISL,,0.276,,0.0467784,Production,2003,,1.999998749
EDF - J-POWER - Yamna Dhofar,OMN,,2500,,433.1333333,Production,2030,Others/Various,1.879745338
"Edify Green Hydrogen Project, Lansdown Precint",AUS,,17.5,,2.623788462,Production,2027,Solar PV,1.99917016
EDP Pecem pilot,BRA,,3,,0.449792308,Production,2022,Solar PV,1.999867707
EDP Ribatejo - ALHIVE Alenquer,PRT,,5,,0.749653846,Production,2025,,1.999771493
eFarm (5 production sites in North Frisia),DEU,,1.125,,0.168672115,Production,2020,Onshore wind,4.999957907
E-fuels project in South Africa,ZAF,,1000,,173.2533333,Production,,Unknown,6.951905351
EG Solwin Hybrid - Enfinity Global ammonia plant in  Tata Steel Special Economic Zone,IND,,623.6140755,,108.0432173,Production,,Unknown,6.970012027
EHYTRANSP - TS Laevad & H2,EST,,5,,0.866266667,Production,,Unknown,6.999771493
EI-H2 - Aghada (phase 1),IRL,,50,,8.662666667,Production,2026,,1.997606693
EI-H2 - Aghada (phase 2),IRL,,2650,,459.1213333,Production,2030,Offshore wind,1.872529336
EI-H2 - Aghada (phase 3),IRL,,500,,86.62666667,Production,2030,Offshore wind,1.975958689
EI-H2 project,IRL,,50,,8.662666667,Production,2026,Unknown,6.997606693
El Tubo - ACTA EL500,ESP,,0.00312,,0.000467784,Production,2013,,1.999988123
Electrochaea: Biological methanation in Avedøre,DNK,,1.2,,0.203384348,Production,2014,,1.999954299
Electrolysis Corridor East Germany (H2 Corridor),DEU,,210,,36.3832,Production,2027,Unknown,9.989909625
"Electrolyzers with ""network related function"" in Apulia - Phase 1",ITA,,90,,15.5928,Production,2026,,1.995682426
"Electrolyzers with ""network related function"" in Apulia - Phase 2",ITA,,710,,123.0098667,Production,2031,,1.965856287
"Electrolyzers with ""network related function"" in Sicily - Phase 1",ITA,,90,,15.5928,Production,2026,,1.995682426
"Electrolyzers with ""network related function"" in Sicily - Phase 2",ITA,,610,,105.6845333,Production,2031,,1.970666955
Electus Energy - Bakersfield,USA,,75,,12.994,Production,2025,Solar PV,1.996404026
"Element One (Element Eins), phase 3",DEU,,232.8170867,,39.45945946,Production,2028,Others/Various,4.988811971
Element Resources - Lancaster,USA,,135,,22.88073913,Production,2025,,1.993517625
Eletrobras - Paul Wurth green hydrogen,BRA,,10,,1.732533333,Production,,,1.99953096
Eletrobras - Port of Acu,BRA,,10,,1.732533333,Production,,,1.99953096
Eletronuclear hydrogen project - Angra nuclear power plant (I e II),BRA,,0.577189472,,0.1,Production,2021,,1.99998426
ELY4OFF,ESP,,0.05,,0.007496538,Production,2019,,1.999990379
ELYgator,NLD,,200,,34.65066667,Production,2026,Unknown,6.990390692
ELYGRID (R&D),ESP,,2.6,,0.440666087,Production,2011,,1.999886949
Emden I Biogas upgrading,DEU,,0.312,,0.05287993,Production,2012,,4.999997017
EMEC tidal-battery-hydrogen demo,GBR,,0.67,,0.100453615,Production,2025,Others/Various,1.999979795
E-methane pilot project ,OMN,,41.03626183,,7.10966915,Production,,,1.998037909
e-methanol plant in Port of Victoria,USA,,220.8638602,,38.2654,Production,2028,Others/Various,1.989387001
E-methanol plant in Singapore,SGP,,110.4319301,,19.1327,Production,2026,Unknown,6.994699514
eM-Iberica,ESP,,2208.638602,,382.654,Production,,Others/Various,1.893761766
Emil'Hy - pilot,FRA,,1.5,,0.25988,Production,2024,,1.999939867
Emil'Hy- (Phase 1),FRA,,200,,34.65066667,Production,2027,,1.990390692
Emil'Hy- (Phase 2),FRA,,200,,34.65066667,Production,2030,,1.990390692
eM-Lacq (part of E-CHO),FRA,,260,,45.04586667,Production,2028,Unknown,6.987504291
eM-Rhone,FRA,,290.6103424,,50.34921053,Production,2028,Unknown,6.986031729
Enagas - CEAR MoU,ESP,,30,,5.1976,Production,,Others/Various,1.998568826
Enap - Cabo Negro,CHL,,1,,0.173253333,Production,2025,Onshore wind,1.99996392
"EnBW H2 station, Stuttgart",DEU,,0.3,,0.050846087,Production,2011,,4.999997595
Eneco Diamond Hydrogen,NLD,,839.548323,,145.4545455,Production,2029,Offshore wind,1.959624148
Eneco H2 project Rotterdam port area,NLD,,225,,38.982,Production,2029,Others/Various,1.989188025
EnergHys,NLD,,300,,51.976,Production,2028,,1.985580024
Energi Hub Kjerlingland,NOR,,5,,0.866266667,Production,2025,,1.999771493
Energía Los Cabos,MEX,,25,,3.748269231,Production,2026,Solar PV,1.99880936
Energia Verde Austral ,CHL,,1000,,173.2533333,Production,2032,Onshore wind,1.951905351
Energie Steiermark plant in Styria,AUT,,1,,0.173253333,Production,2023,Solar PV,1.99996392
"Energie Steiermark plant in Styrua, expansion",AUT,,149,,25.81474667,Production,,,1.992844132
Energiepark Eemshaven West (phase I),NLD,,10,,1.732533333,Production,2026,Others/Various,1.99953096
Energiepark Eemshaven West (phase II),NLD,,100,,17.32533333,Production,2027,Others/Various,1.995201359
Energiepark Mainz,DEU,,6,,0.899584615,Production,2017,Onshore wind,4.999723387
Energy Hub at MIRA Technology Park.,GBR,,1,,0.173253333,Production,2023,,1.99996392
Energy observer,FRA,,0.0468,,0.00701676,Production,2017,,1.999990225
Energy-Norweigian Catapult Centre,NOR,,0.9,,0.152538261,Production,2023,Unknown,6.999968731
Enertag green ammonia project,JOR,,207.8713585,,36.01440576,Production,,,1.990012027
Enertrag - Prignitz-Falkenhagen industrial park ,DEU,,130,,22.52293333,Production,2027,Unknown,9.993758159
Enertrag Magdeburg,DEU,,10,,1.499307692,Production,2025,,4.99953096
Eneus Energy Hammars Hill,GBR,,12.9,,2.234968,Production,2030,Offshore wind,1.999391451
Engie - Masdar - Fertiglobe Abu Dhabi,ARE,,200,,34.65066667,Production,2025,Solar PV,1.990390692
"Engie - Yara Pilbara test, phase I (project Yuri)",AUS,,10,,1.694869565,Production,2025,Solar PV,1.99953096
"Engie - Yara Pilbara test, phase II (project Yuri)",AUS,,56,,9.702186667,Production,,Others/Various,1.997318053
ENOWA-Aramco MeOH demo plant,SAU,,4.836918539,,0.83801226,Production,,,1.999779339
EnrHy4,FRA,,4,,0.693013333,Production,2024,Solar PV,1.9998196
EPM Ammonia Project,COL,,396.3413902,,59.42376951,Production,2030,,1.98094536
EPM Hydrogen project,COL,,0.72148684,,0.125,Production,2024,Hydropower,1.999977318
EPM Hydrogen project - Espiritu Santo power plant,COL,,2.88594736,,0.5,Production,2027,Hydropower,1.999873193
ErasmoPower2X,ESP,,500,,86.62666667,Production,2025,Solar PV,1.975958689
Ercros - Sabinanigo,ESP,,0.9,,0.152538261,Production,2025,Unknown,6.999968731
e-SAF France Kereauzen project,FRA,,255,,44.1796,Production,2029,,1.987744824
e-SAF plant,DEU,,1000,,173.2533333,Production,2030,Unknown,9.951905351
eSMR Methanol demo plant in Aarhus University,DNK,,2.642690146,,0.457854877,Production,2022,,1.999884896
Essar-Gujarat MoU,IND,,1000,,173.2533333,Production,,,1.951905351
Estación Andes,COL,,0.008426966,,0.00146,Production,2022,Unknown,6.999988379
ET Fuels - Ranua,FIN,,350,,60.63866667,Production,2030,Onshore wind,1.98317469
E-Thor,NLD,,5,,0.866266667,Production,,,1.999771493
"ETOGAS, Solar Fuel Alpha-plant 250 kW, ZSW",DEU,,0.25,,0.042371739,Production,2009,,5
"ETOGAS, Solar Fuel Beta-plant AUDI, Werlte (Audi e-gas)",DEU,,6.3,,1.067767826,Production,2013,,4.999708955
Eucolino Schwandorf,DEU,,0.108,,0.01871136,Production,2012,,4.999993169
European Energy  Pernambuco MeOH plant,BRA,,193.7402283,,33.56614035,Production,2026,,1.990691828
"European Energy, phase I",DNK,,3,,0.51976,Production,2024,Offshore wind,1.999867707
"European Energy, phase II",DNK,,9,,1.55928,Production,2025,Offshore wind,1.999579067
EuroWind Energy  Monte Das Areias ,PRT,,4,,0.693013333,Production,2025,,1.9998196
"Eurowind Mariagerfjord, phase 1",DNK,,43,,7.449893333,Production,,Others/Various,1.99794344
"Eurowind Mariagerfjord, phase 2",DNK,,43,,7.449893333,Production,,Others/Various,1.99794344
Evergreen Project,AUS,,7000,,1212.773333,Production,,Unknown,6.663265298
Evolugen H2 injection project,CAN,,20,,3.465066667,Production,,Hydropower,1.999049893
"EWE - Clean Hydrogen Coastline, project Bremen",DEU,,50,,8.662666667,Production,2028,Unknown,9.997606693
"EWE - Clean Hydrogen Coastline, project Emdem",DEU,,280,,41.98061538,Production,2028,Unknown,9.986542158
"Eyre Peninsula Gateway Hydrogen Project, phase 1",AUS,,100,,17.32533333,Production,2026,Unknown,6.995201359
"Eyre Peninsula Gateway Hydrogen Project, phase 2",AUS,,1500,,259.88,Production,2030,Unknown,6.927852013
FaHyence,FRA,,0.138,,0.0233892,Production,2017,,1.999994612
Fairfuel Atmosfair,DEU,,1.3,,0.19491,Production,2021,Others/Various,4.999949488
Falkenhagen STORE&GO,DEU,,1,,0.149930769,Production,2018,,4.99996392
Faraday - ACH-MRP,CHL,,2000,,346.5066667,Production,2027,Others/Various,1.903798676
Fébus Pau bus station HRS,FRA,,0.75,,0.112448077,Production,2019,,1.999975947
Felixstowe Green Hydrogen,GBR,,100,,17.32533333,Production,2030,,1.995201359
Ferrolterra plant,ESP,,30,,4.497923077,Production,,Offshore wind,1.998568826
Ferrolterra plant,ESP,,50,,7.496538462,Production,,Offshore wind,1.997606693
"Ferrolterra plant, pahse 1",ESP,,20,,2.998615385,Production,2026,Offshore wind,1.999049893
FertigHy first plant,FRA,,200,,33.8973913,Production,2030,,1.990390692
FertigHy second plant,ESP,,13339.49002,,2000,Production,,Unknown,6.358293508
"Fife, Levenmouth Community Energy Project",GBR,,0.37,,0.064103733,Production,2016,Onshore wind,1.999994227
Fine Chemical Industry Park of Lanzhou,CHN,,4.6,,0.77964,Production,2020,Solar PV,1.999790736
Firlough project,IRL,,45,,7.7964,Production,2027,Onshore wind,1.997847226
FIRST - Showcase II,ESP,,0.001,,0.000149931,Production,2000,,1.999988021
First Ammonia plant in Brunsbüttel,DEU,,700,,143.6178947,Production,,Unknown,9.966337354
First Ammonia Port of Victoria,USA,,100,,20.51684211,Production,2026,Unknown,6.995201359
"First HyDeal hub, completion",ESP,,4100,,710.3386667,Production,,Solar PV,1.802774657
"First HyDeal hub, phase 1",ESP,,3300,,571.736,Production,2028,Solar PV,1.841259997
First Hydrogen - Liverpool,GBR,,40,,6.930133333,Production,2035,,1.99808776
First Hydrogen - London,GBR,,40,,6.930133333,Production,2035,,1.99808776
First Hydrogen - Manchester,GBR,,40,,6.930133333,Production,2030,,1.99808776
First Hydrogen - Shawinigan,CAN,,50,,8.662666667,Production,,Unknown,6.997606693
First Hydrogen - Thames Estuary,GBR,,40,,6.930133333,Production,2030,,1.99808776
"Fiume Santo, comercial plant",ITA,,50,,8.662666667,Production,2030,Others/Various,1.997606693
"Fiume Santo, demo plant",ITA,,1,,0.149930769,Production,,Unknown,6.99996392
Flavian superhybrid,AUS,,300,,51.976,Production,2028,Others/Various,1.985580024
Fleur-de-lys Green Hydrogen Production Hub,CAN,,248.191473,,43,Production,,Offshore wind,1.98807236
Flexens Lempäälä,FIN,,2.5,,0.433133333,Production,2025,,1.99989176
Flins Plant - HYVIA,FRA,,1,,0.149930769,Production,2024,,1.99996392
Forestal del Atlántico - Triskelion,ESP,,88.34532736,,15.30612245,Production,2027,Others/Various,1.995762027
Fortescue Future Industries - Egypt,EGY,,2980,,516.2949333,Production,,Others/Various,1.856654134
Fortescue Future Industries - Incitec Pivot MoU,AUS,,577.1894721,,100,Production,,Unknown,6.97224536
Fortescue Future Industries - Port of Pecem  (Phase I and II),BRA,,1006.04125,,174.3,Production,2027,Offshore wind,1.951614727
Fortescue Future Industries - Port of Pecem (Phase III),BRA,,754.38664,,130.7,Production,,Offshore wind,1.963720993
Fortescue Future Industries - Refining NZ MoU,NZL,,300,,51.976,Production,2027,Unknown,6.985580024
"Fortescue Metals - Rio Negro, phase I",ARG,,600,,103.952,Production,,Unknown,6.971148021
"Fortescue Metals - Rio Negro, phase II",ARG,,1400,,242.5546667,Production,,Unknown,6.932662681
"Fortescue Metals - Rio Negro, phase III",ARG,,13000,,2252.293333,Production,,Unknown,6.374625244
"Fortescue Metals Group - Bell Bay, Tasmania",AUS,,250,,43.31333333,Production,2026,Others/Various,1.987985358
Foulum Demonstration plant,DNK,,0.25,,0.037482692,Production,2011,,2
Freedom Pines Fuels,USA,,2.5,,0.374826923,Production,2024,Unknown,6.99989176
Freienbach plant,CHE,,10,,1.732533333,Production,2025,,1.99953096
Frigg,DNK,,101.2613109,,17.54385965,Production,,,1.995140682
"Fronius Energy Cell, self-sufficient house",AUT,,0.00884,,0.001325388,Production,2012,,1.999988399
Fronius Solhub - SAN Group Herzogenburg,AUT,,0.7,,0.104951538,Production,2022,Solar PV,1.999978352
"Frontier Energy, H2@Scale - electrolysis",USA,,0.048689139,,0.0073,Production,2020,Others/Various,1.999990316
"FRV-X Pecem industrial complex plant, phase 1",BRA,,500,,86.62666667,Production,2030,,1.975958689
"FRV-X Pecem industrial complex plant, phase 2",BRA,,2000,,346.5066667,Production,2030,,1.903798676
Fukushima Hydrogen Energy Research Field,JPN,,10,,1.694869565,Production,2020,Solar PV,1.99953096
FUTURECEM,DNK,,100,,17.32533333,Production,,,1.995201359
"G2F - Gas to Future, phase 1",SVK,,84,,14.55328,Production,2025,Unknown,6.995971066
"G2F - Gas to Future, phase 2",SVK,,248,,42.96682667,Production,2035,Unknown,6.988081571
GACL-NTPC REL ammonia methanol plant,IND,,86.18880831,,14.93249834,Production,,Others/Various,1.99586577
Gaia-Ajlan Bros Green H2 Project,MAR,,1847.006311,,320,Production,,Others/Various,1.911158693
Gaia-H2Pro Project,MAR,,15,,2.5988,Production,,,1.999290427
GAIL Vijaipur project,IND,,10,,1.499307692,Production,2024,Unknown,6.99953096
Galway Green Hydrogen Hub,IRL,,1.2,,0.207904,Production,2026,,1.999954299
Gazifere grid injection,CAN,,20,,3.465066667,Production,,Unknown,6.999049893
Gaznat methanation project,CHE,,0.5,,0.084743478,Production,2023,Solar PV,1.999987973
Geelong Hydrogen Hub,AUS,,716.2921348,,124.1,Production,2025,Unknown,6.965553593
Gela refinery,ITA,,20,,2.998615385,Production,2026,,1.999049893
"Gen2 Energy, Åfjord ",NOR,,135,,23.3892,Production,2028,Unknown,6.993517625
"Gen2 Energy, Meråker    ",NOR,,20,,3.465066667,Production,2026,Unknown,6.999049893
GenHyPEM (R&D),DEU,,0.03276,,0.004911732,Production,2005,,4.999989549
Gente Grande project - TEG Chile Magallanes,CHL,,3637.748774,,630.2521008,Production,2028,Onshore wind,1.825012027
"GET H2 Nukleus, phase 1",DEU,,100,,14.99307692,Production,2025,Offshore wind,4.995201359
"GET H2 Nukleus, phase 2",DEU,,100,,14.99307692,Production,2027,Offshore wind,4.995201359
"GET H2 Nukleus, phase 3",DEU,,100,,16.94869565,Production,2027,Offshore wind,4.995201359
GH2 Ambès (Phase 1),FRA,,100,,16.94869565,Production,2028,Solar PV,1.995201359
"GH2 Ambès (Phase 2, final)",FRA,,200,,34.65066667,Production,2027,,1.990390692
"GH2SOTO, phase 1",ESP,,5,,0.866266667,Production,,Unknown,6.999771493
"GH2SOTO, phase 2",ESP,,15,,2.5988,Production,,Unknown,6.999290427
Gibson Island Project,AUS,,550,,82.46192308,Production,2026,,1.973553355
Giga Stack - Green Hydrogen for Humberside,GBR,,1000,,149.9307692,Production,,,1.951905351
"Gigastack-Hornsea 2, phase I",GBR,,100,,14.99307692,Production,2025,Offshore wind,1.995201359
"Gigastack-Hornsea 2, phase II",GBR,,900,,134.9376923,Production,2030,Offshore wind,1.956716019
Gila Hydrogen Facility,USA,,443.5245417,,76.84210526,Production,,,1.978675535
"Giner ELX, H2@Scale (Florida)",USA,,0.5,,0.074965385,Production,2021,,1.999987973
GldH2,NLD,,2,,0.346506667,Production,2025,,1.999915813
"Globeleq green hydrogen project, phase 1",EGY,,103.9356792,,18.00720288,Production,,Others/Various,1.995012027
"Globeleq green hydrogen project, phase 2",EGY,,3500,,606.3866667,Production,,Others/Various,1.831638662
Glomfjord Hydrogen AS,NOR,,2,,0.338973913,Production,,Hydropower,1.999915813
GNVert H2 ,FRA,,0.1924,,0.02884668,Production,2018,,1.999997229
Go Energy Group - Gibraleon,ESP,,100,,17.32533333,Production,,Solar PV,1.995201359
Go Energy Group - San Juan del Puerto,ESP,,70,,12.12773333,Production,,Solar PV,1.996644559
Gobi H2,MNG,,10,,1.732533333,Production,,Unknown,6.99953096
Goldwind e-methanol project,CHN,,552.1596506,,95.6635,Production,2026,Onshore wind,1.973449462
Good Earth Green Hydrogen and Ammonia Project,AUS,,12,,2.07904,Production,2024,Solar PV,1.999434747
Goondiwindi Hydrogen- Phase I,AUS,,2,,0.338973913,Production,2024,Solar PV,1.999915813
Goondiwindi Hydrogen- Phase II,AUS,,50,,8.474347826,Production,,,1.997606693
Goßschwechten,DEU,,30,,5.1976,Production,,,4.998568826
GP H2 As Pontes,ESP,,40,,6.930133333,Production,,,1.99808776
Granadilla - Endesa,ESP,,10,,1.732533333,Production,2025,Others/Various,1.99953096
Grange Resources Renewable Hydrogen,AUS,,95,,16.45906667,Production,,Unknown,6.995441892
GravitHy,FRA,,700,,121.2773333,Production,2027,,1.966337354
Great Southern Project ,AUS,,7.6,,1.316725333,Production,2024,Solar PV,1.999646416
Green Ammonia,COL,,3500,,606.3866667,Production,2040,,1.831638662
Green Ammonia,COL,,120,,17.99169231,Production,2030,,1.994239226
Green Ammonia Express Sines,PRT,,137,,23.73570667,Production,2027,Unknown,6.993421412
Green Ammonia Linz – Decarbonizing Chemical Processes with Water Electrolysis (Gramli),AUT,,60,,8.995846154,Production,2026,Unknown,6.997125626
Green ammonia Plant in Korgen,NOR,,260,,45.04586667,Production,2027,Hydropower,1.987504291
Green CCU Hub Aalborg,DNK,,120,,20.7904,Production,2025,Others/Various,1.994239226
